siret;nom_officiel;nature_juridique;activite;commune;code_postal
50539681200024;SO GAMES - NOUVELLE AQUITAINE (SO GAMES);9220;94.99Z;BORDEAUX;33000
50907979400000;;;;;
50907979400012;ASSOCIATION EUROPEENNE DU FILM D ANIMATION - CARTOON AISBL;3220;82.30Z;;
51063878600028;L ATELIER DES BAINS DOUCHES;9220;94.99Z;BORDEAUX;33800
51066013700033;MONTS ET MERVEILLES;9220;90.01Z;BORDEAUX;33800
51115695200026;C.I.V.A.M. PRODUIRE PARTAGER MANGER LOCAL (PPML) (PPML);9220;94.99Z;BEGLES;33130
51141404700031;RECONNECT;9220;88.99B;PARIS;75011
51317173600038;LUDOSENS;9220;88.99B;BEGLES;33130
51482209700028;NOUVELLE-AQUITAINE OPEN SOURCE (NAOS);9220;94.99Z;BEGLES;33130
51779186900000;;;;;
51779186900012;MAISON DE L'EUROPE BORDEAUX AQUITAINE (MEBA);9220;94.99Z;BORDEAUX;33000
51950160500000;;;;;
51950160500017;ASSOCIATION DE L'AMOUR VIVANT (ASLAV);9220;88.99B;BELIN-BELIET;33830
51956916400048;MOUVEMENT D EVEIL DE VEILLE ET D ESSAIMAGE D INITIATIVES LOCALES D ECONOMIE SOLIDAIRE DU MONDE (M.E.R.V.E.I.L.L.E.S.);9220;88.99B;FOUGERES;35300
51978184300015;BURKINA T.H;9220;94.99Z;BOE;47550
52144292100024;ASSOCIATION POUR LA REPARATION ET L'ENTRETIEN DE VEHICULES AUTOMOBILES (A.P.R.E.V.A);9220;94.99Z;AIGUILLON;47190
52257430000000;;;;;
52289609100000;;;;;
52289609100033;ASSOCIATION TERRITOIRES ET INNOVATION SOCIALE;9220;82.99Z;BORDEAUX;33800
52354600000028;PIMMS MEDIATION CENON;9220;94.99Z;CENON;33150
52419833000036;DESTINATION MULTIMEDIA;9220;85.59A;PONTOISE;95300
52425936300000;;;;;
52425936300017;ASSOCIATION MELI MEL'ARTS;9220;90.01Z;CENON;33150
52528933600030;LES Z'ARPETES;9220;90.01Z;VILLENAVE-D'ORNON;33140
52539664400000;;;;;
52539664400011;BORDEAUX MON COMMERCE;9220;82.30Z;BORDEAUX;33000
52539664400029;BORDEAUX MON COMMERCE;9220;82.30Z;BORDEAUX;33000
52824466800018;DYNAM'EAU;9220;94.99Z;BORDEAUX;33100
52824466800034;DYNAM'EAU;9220;94.99Z;BORDEAUX;33100
52824466800042;DYNAM'EAU;9220;94.99Z;BORDEAUX;33100
52898001400021;AQUITAINE CHIMIE DURABLE (ACD);9220;94.99Z;BRUGES;33520
52899860200023;IMMO DE FRANCE AQUITAINE;5710;68.32A;LE BOUSCAT;33110
53280194100032;POMPIERS SOLIDAIRES (PSID);9220;94.99Z;MERIGNAC;33700
53310615000000;;;;;
53310615000023;;;;;
53310615900023;COOP&BAT (COOP&BAT) (COOP&BAT);5558;43.99C;BASSENS;33530
53381534600010;QUAD DRAMA (QUAD TELEVISION , FANTASTICO);5710;59.11A;CLICHY;92110
53389682500000;;;;;
53389682500023;SEMER LE DOUTE;9220;59.14Z;BORDEAUX;33800
53389682500031;SEMER LE DOUTE;9220;59.14Z;BORDEAUX;33800
53389682500049;SEMER LE DOUTE;9220;59.14Z;BORDEAUX;33800
53389682500056;SEMER LE DOUTE;9220;59.14Z;BORDEAUX;33800
53454877100000;;;;;
53766826100028;EN ROUTE POUR TRAVAILLER;9220;85.53Z;BORDEAUX;33100
